16/03/2020 21:33:17.77 All tests completed: 4 passed, 0 advisory, 2 failed. 
16/03/2020 21:35:08.96 All tests completed: 3 passed, 0 advisory, 3 failed. 
16/03/2020 21:37:33.68 All tests completed: 4 passed, 0 advisory, 2 failed. 
16/03/2020 21:54:40.18 All tests completed: 4 passed, 0 advisory, 2 failed. 
16/03/2020 21:59:26.30 All tests completed: 3 passed, 0 advisory, 3 failed. 
16/03/2020 22:01:12.29 All tests completed: 5 passed, 0 advisory, 1 failed. 
16/03/2020 22:09:56.35 All tests completed: 5 passed, 0 advisory, 1 failed. 
17/03/2020 13:24:40.64 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 13:29:14.45 All tests completed: 5 passed, 0 advisory, 1 failed. 
17/03/2020 13:43:26.28 All tests completed: 5 passed, 0 advisory, 1 failed. 
17/03/2020 13:51:05.48 All tests completed: 5 passed, 0 advisory, 1 failed. 
